infobox template name
Infobox awards list
Infobox award
Infobox British Academy video games awards
Infobox beauty pageant
Infobox film awards
Infobox medal templates
Infobox military award
Infobox K-pop artist awards
Infobox order
Infobox sports award
Infobox book
Infobox book series
Infobox hymnal
Infobox manuscript
Infobox New Testament manuscript
Infobox short story
Infobox Bible chapter
Infobox Asian comic series
Infobox manhua
Infobox manhwa
Infobox original English manga
Infobox comic
Infobox comic book title
Infobox comic strip
Infobox comics creator biblio
Infobox comics in other media
Infobox comics meta series
Infobox comics nationality
Infobox comics organization
Infobox comics set and title
Infobox comics set index
Infobox comics story arc
Infobox comics team and title
Infobox graphic novel
Infobox Star Wars comics
Infobox character
Infobox animanga character
Infobox G.I. Joe character
Infobox Transformers character
Infobox comics character
Infobox comics character and title
Infobox comics species
Infobox comics species and title
Infobox D&D character class
Infobox fictional race
Infobox mythical creature
Infobox Primeval creature
Infobox soap character
Infobox soap opera family
Infobox fictional family
Infobox Water Margin character
Infobox comics elements
Infobox fictional artifact
Infobox fictional location
Infobox fictional organisation
Infobox fictional vehicle
Infobox film
Infobox film or theatre festival
Infobox cinema market
Infobox movie quote
Infobox card game
Infobox chess opening
Infobox darts tournament
Infobox FIRST LEGO League Challenge
Infobox FIRST Robotics Competition game
Infobox_FIRST_Robotics_Competition team
Infobox_FIRST_Tech Challenge game
Infobox game
Infobox juggling pattern
Infobox individual darts tournament
Infobox individual snooker tournament
Infobox language game
Infobox Lego theme
Infobox Magic
Infobox Magic
Infobox mancala
Infobox Mosconi Cup
Infobox paintball marker
Infobox pinball
Infobox snooker season
Infobox snooker tournament
Infobox toy
Infobox manner of address
Infobox archbishop styles
Infobox Austrian royalty styles
Infobox Belgian royalty styles
Infobox bishop styles
Infobox British royalty styles
Infobox cardinal styles
Infobox consort styles
Infobox Dutch royalty styles
Infobox French royalty styles
Infobox pope styles
Infobox Portuguese royalty styles
Infobox president styles
Infobox royal styles
Infobox Spanish royalty styles
Infobox viceroy styles
Infobox Arabic name
Infobox Arabic term
Infobox Chinese
Infobox name module
Infobox country languages
Infobox Cyrillic letter
Infobox East Asian name
Infobox ethnonym
Infobox given name
Infobox Hanacaraka
Infobox Hangul
Infobox hieroglyphs
Infobox IPA
Infobox kana
Infobox Kangxi radical
Infobox Korean name
Infobox language
Infobox language family
Infobox rune
Infobox Russian term
Infobox Semitic letter
Infobox surname
Infobox Tibetan-Chinese
Infobox Vietnamese
Infobox writing system
Infobox album
Infobox anthem
Infobox artist discography
Infobox Bach composition
Infobox ballet
Infobox ballet company
Infobox choir
Infobox chord
Infobox concert
Infobox dance
Infobox drums corps
Infobox guitar model
Infobox guitar pickup
Infobox instrument
Infobox music festival
Infobox music genre
Infobox musical
Infobox musical artist
Infobox musical composition
Infobox musical interval
Infobox musical scale
Infobox opera
Infobox operas
Infobox orchestra
Infobox pipe band
Infobox producer discography
Infobox reality talent competition
Infobox regular tuning
Infobox Rock Band DLC
Infobox Sanremo Music Festival
Infobox Saxophone
Infobox song
Infobox song contest
Infobox song contest entry
Infobox song contest country
Infobox song contest national year
Infobox journal
Infobox magazine
Infobox newspaper
Infobox publisher
Infobox radio show
Infobox radio station
Infobox broadcast
Infobox broadcasting network
Infobox Doctor Who episode
Infobox Paris by Night
Infobox programming block
Infobox television
Infobox television channel
Infobox television episode
Infobox Futurama episode
Infobox Simpsons episode
Infobox television season
Infobox reality competition season
Infobox animanga
Infobox art movement
Infobox artifact
Infobox artwork
Infobox audio drama
Infobox author bibliography
Infobox bibliographic database
Infobox clothing item
Infobox clothing type
Infobox collection
Infobox color
Infobox crown
Infobox document
Infobox Dungeons & Dragons module
Infobox emblem
Infobox emblem wide
Infobox Fabergé egg
Infobox flag
Infobox folk tale
Infobox fragrance
Infobox furniture
Infobox geographical indication
Infobox halftime show
Infobox heraldic knot
Infobox herald
Infobox identity document
Infobox intangible heritage
Infobox knot theory
Infobox knot
Infobox library classification
Infobox literary genre
Infobox machinima
Infobox mascot
Infobox media franchise
Infobox medieval text
Infobox Noh
Infobox performing art
Infobox piercing
Infobox play
Infobox podcast
